Refid,User,Level,year,country,continent,st_design,setting,species,outcome,NR_species,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Poultry,Prevalence,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Poultry,Serotype(s) Present,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Ruminants (Other),OR/RR/HR,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Ruminants (Other),Prevalence,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Ruminants (Other),Serotype(s) Present,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Swine,OR/RR/HR,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Swine,Prevalence,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"SarahTotton,Ellen_Vriezen",3,2019,Australia,Oceania,Analytical observational,Feed manufacturing plant,Swine,Serotype(s) Present,,,,,,,,,"Ruminants, not further specified,Swine,Poultry, not further specified","feed,equipment","Not reported,dry grain,pelleted feed,animal byproducts,Soybean meal,Sunflower meal,cottonseed meal,canola meal","Prevalence / proportion positive,Odds ratios / risk ratios,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Johannesburg,Anatum,Infantis,Agona,Amsterdam,4,12:d:-,Give,Orion,Typhimurium,Rissen,Kiambu,Cubana,Worthington,Havana,Singapore,Liverpool,Zanzibar,Cerro,Ohio,Adelaide,Livingstone,Muenchen,Orientalis,Bredeney,Lille,Oranienburg,Schwarzengrund,Fremantle,Hvittingfoss,Muenster,Potsdam,Sal.subsp 1 ser 6,7,Aberdeen,Banana,Derby,Kottbus,Newport,Ouakam,Virchow,Alachua,Albany,Alsterdorf,Chailey,Champaign,Charity,Idikan,Isangi,Paratyphi BV Java,Lansing,London,Menston,Minnesota,Putten,Ruiru,Saintpaul,Waltevreden,Wandsbek","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"plant characteristics,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2019,Ecuador,South America,Single group observational,Feed manufacturing plant,Poultry,Antimicrobial Resistance,,,,,,,,,Broiler chickens,feed,"dry grain,animal byproducts,Commercial feed","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Infantis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2019,Ecuador,South America,Single group observational,Feed manufacturing plant,Poultry,Molecular Characteristics,,,,,,,,,Broiler chickens,feed,"dry grain,animal byproducts,Commercial feed","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Infantis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2019,Ecuador,South America,Single group observational,Feed manufacturing plant,Poultry,Prevalence,,,,,,,,,Broiler chickens,feed,"dry grain,animal byproducts,Commercial feed","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Infantis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"jan.sargeant,SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2019,Ecuador,South America,Single group observational,Feed manufacturing plant,Poultry,Serotype(s) Present,,,,,,,,,Broiler chickens,feed,"dry grain,animal byproducts,Commercial feed","Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Infantis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,"SarahTotton,Ellen_Vriezen",3,2019,Brazil,South America,Single group observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Incidence,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,enterica O:4,5:-:1,2","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
456,"SarahTotton,Ellen_Vriezen",3,2019,Brazil,South America,Single group observational,On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Incidence,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,enterica O:4,5:-:1,2","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
503,"SarahTotton,Ellen_Vriezen",3,2019,Portugal,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Not Reported,Antimicrobial Resistance,,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,"SarahTotton,Ellen_Vriezen",3,2019,Portugal,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Not Reported,Molecular Characteristics,,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,"SarahTotton,Ellen_Vriezen",3,2019,Portugal,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Not Reported,Serotype(s) Present,,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,"SarahTotton,Ellen_Vriezen",3,2019,Germany,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Not Reported,Molecular Characteristics,,,,,,,,,Not reported,feed,Rapeseed,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,Comparison of molecular characterization between sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rapeseed cake/rapeseed meal
506,"SarahTotton,Ellen_Vriezen",3,2019,Germany,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Feed manufacturing plant,Not Reported,Serotype(s) Present,,,,,,,,,Not reported,feed,Rapeseed,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,Comparison of molecular characterization between sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rapeseed cake/rapeseed meal
510,"Ellen_Vriezen,Mikalya_Plishka",3,2019,Brazil,South America,"Laboratory study (experimental, something manipulated)",Not specified,Poultry,Concentration,"Chicken, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicken, not further specified",feed,Commercial feed,Concentration,Enteritidis,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,natural antimicrobials,
516,"SarahTotton,Mikalya_Plishka",3,2019,Belgium,Europe,Analytical observational,Feed manufacturing plant,Not Reported,Prevalence,,,,,,,,,Not reported,"feed,environment",Insects,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona",Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
